name,smiles
Irgacure 651,COC(OC)(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Darocur 1173,CC(C)(O)C(=O)C1=CC=CC=C1
Irgacure 184,OC1(CCCCC1)C(=O)C2=CC=CC=C2
Irgacure 369,CN(C)C(CC1=CC=CC=C1)(C(=O)C2=CC=CC=C2)N3CCOCC3
Irgacure 907,CC1=CC=C(C=C1)SC(C)(C)C(=O)C2=CC=CC=C2
TPO,CC(C)(C)P(=O)(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
TPO-L,CCOP(=O)(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Irgacure 819,CC(C)(C)P(=O)(C(=O)C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Benzoin methyl ether,COC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Benzoin ethyl ether,CCOC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Benzoin isopropyl ether,CC(C)OC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Irgacure 2959,CC(C)(C(=O)C1=CC=C(C=C1)OCCO)O
Irgacure 784,C1C=CC=C1.C1C=CC=C1.C1=CN(C=C1)C2C=CC(=C=C2F)F.C1=CN(C=C1)C2C=CC(=C=C2F)F.[Ti]
Benzophenone,O=C(C1=CC=CC=C1)C2=CC=CC=C2
4-Methylbenzophenone,CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2
4-Phenylbenzophenone,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3
Methyl o-benzoylbenzoate,COC(=O)C1=CC=CC=C1C(=O)C2=CC=CC=C2
ITX,CC(C)C1=CC2=C(C=C1)C(=O)C3=CC=CC=C3S2
TX,COC1=CC(=CC(=C1OC)OC)C(=O)N2CCOCC2
DETX,CCC1=CC(=C2C(=C1)C(=O)C3=CC=CC=C3S2)CC
Camphorquinone,CC1(C)C2CC1C(=O)C2=O
Benzil,O=C(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
Anthraquinone,O=C1C2=CC=CC=C2C(=O)C3=CC=CC=C13
"9,10-Phenanthrenequinone",O=C1C2=CC=CC=C2C(=O)C3=CC=CC=C13
Acridone,O=C1C2=CC=CC=C2NC3=CC=CC=C13
Michler's ketone,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C
"4,4'-Bis(diethylamino)benzophenone",CCN(CC)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(CC)CC
Eosin Y,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-].[Na+].[Na+]
Methylene blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
Rose bengal,C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-].[K+].[K+]
Triethylamine,CCN(CC)CC
TEOA,C(CO)N(CCO)CCO
MDEA,CN(CCO)CCO
DMAE,CN(C)CCO
DMBA,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C
N-Phenyldiethanolamine,C1=CC=C(C=C1)N(CCO)CCO
DIPEA,CCN(C(C)C)C(C)C
DABCO,C1CN2CCN1CC2
EDB,C(CBr)Br
2-Ethylhexyl 4-(dimethylamino)benzoate,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C
Methyl 4-(dimethylamino)benzoate,COC(=O)C1=CC=C(C=C1)N(C)C
BDB,CCC(CC1=CC2=C(C=C1)OCO2)N
4-(Dimethylamino)benzoic acid,CN(C)C1=CC=C(C=C1)C(=O)O
DMAB,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2
2-Mercaptoethanol,OCCS
Thioglycolic acid,O=C(O)CS
Ethyl thioglycolate,CCOC(=O)CS
PETMP,C(CS)C(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
Trimethylolpropane tris(3-mercaptopropionate),CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
HDT,C1=CC=[N+]2C(=C1)NC=C2C3=NC(=NC=C3)NC4=CC=C(C=C4)S(=O)(=O)N
Anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1
Perylene,C1=CC2=C3C=CC=CC3=C4C=CC=CC4=C2C=C1
2-(propan-2-yl)-9H-thioxanthen-9-one,CC(C)C1=CC2=C(C=C1)SC3=CC=CC=C3C2=O
